Well,Sample.Name,Target Name,Amp Score,Amp Status,Task,Cq,Cq Mean,Cq Standard Deviation,Quantity,Quantity Mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit,Tm1
C11,8,BQCV,1.232,Amp,UNKNOWN,28.267,28.058,0.295,79.451,92.257,18.11,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,25,FALSE,79.05844879
D11,8,BQCV,1.25,Amp,UNKNOWN,27.849,28.058,0.295,105.063,92.257,18.11,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,25,FALSE,79.00852203
C1,9,BQCV,1.297,Amp,UNKNOWN,28.67,29.174,0.713,60.658,45.782,21.037,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,25,FALSE,79.00577545
D1,9,BQCV,1.181,Amp,UNKNOWN,29.678,29.174,0.713,30.906,45.782,21.037,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,27,FALSE,79.25550079
C11,10,BQCV,1.251,Amp,UNKNOWN,28.003,28.352,0.495,94.818,77.095,25.064,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,25,FALSE,79.20076752
D11,10,BQCV,1.246,Amp,UNKNOWN,28.702,28.352,0.495,59.372,77.095,25.064,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,25,FALSE,79.40054321
C12,12,BQCV,1.255,Amp,UNKNOWN,29.352,29.052,0.425,38.443,47.943,13.436,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,26,FALSE,79.05093384
D12,12,BQCV,1.245,Amp,UNKNOWN,28.752,29.052,0.425,57.444,47.943,13.436,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,25,FALSE,79.10087585
A5,13,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,2.53E+10,0,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.079,TRUE,3,39,FALSE,79.89108276
B5,13,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,0,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.079,TRUE,3,39,TRUE,77.35277557
C8,14,BQCV,1.155,Amp,UNKNOWN,27.2,27.33,0.184,162.227,149.256,18.344,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,24,FALSE,78.70001984
D8,14,BQCV,1.019,Amp,UNKNOWN,27.46,27.33,0.184,136.285,149.256,18.344,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,24,FALSE,78.94976807
A1,15,BQCV,0.948,No Amp,UNKNOWN,38.06,38.06,-,0.113,0.113,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.079,TRUE,3,34,FALSE,77.95207214
B1,15,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,0,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.079,TRUE,3,39,TRUE,91.68721008
C9,16,BQCV,1.306,Amp,UNKNOWN,26.987,27.127,0.198,187.064,171.106,22.568,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,24,FALSE,79.00489807
